% ground data set
@relation ground
@attribute H real
@attribute S real
@attribute V real
@attribute class {0, 1}
@data
0.315789, 0.351852, 0.211765, 0
0.266667, 0.500000, 0.352941, 0
0.270833, 0.476190, 0.329412, 0
0.166667, 0.227273, 0.172549, 0
0.366667, 0.138889, 0.141176, 1
0.263889, 0.545455, 0.345098, 0
0.202381, 0.466667, 0.235294, 1
0.267241, 0.552381, 0.411765, 0
0.241333, 0.631313, 0.776471, 0
0.194969, 0.670886, 0.309804, 0
0.280142, 0.505376, 0.364706, 0
0.275000, 0.344828, 0.227451, 1
0.364583, 0.253968, 0.247059, 0
0.291667, 0.347826, 0.270588, 0
0.533333, 0.135135, 0.145098, 1
0.265873, 0.482759, 0.341176, 0
0.263441, 0.579439, 0.419608, 0
0.243590, 0.675325, 0.301961, 1
0.460317, 0.446809, 0.184314, 1
0.409091, 0.268293, 0.160784, 1
0.273504, 0.506494, 0.301961, 1
0.277778, 0.467532, 0.301961, 1
0.305556, 0.171429, 0.137255, 1
0.533333, 0.250000, 0.156863, 1
0.183908, 0.491525, 0.231373, 1
0.266667, 0.526316, 0.372549, 0
0.395833, 0.066390, 0.945098, 1
0.271318, 0.505882, 0.333333, 0
0.265432, 0.402985, 0.262745, 0
0.458333, 0.117647, 0.133333, 1
0.244131, 0.617391, 0.450980, 1
0.254237, 0.556604, 0.415686, 0
0.562500, 0.205128, 0.152941, 1
0.276515, 0.478261, 0.360784, 0
0.385417, 0.326531, 0.192157, 1
0.533333, 0.138889, 0.141176, 1
0.266667, 0.526316, 0.372549, 0
0.515152, 0.250000, 0.172549, 1
0.562500, 0.186047, 0.168627, 1
0.280000, 0.531915, 0.368627, 0
0.267241, 0.563107, 0.403922, 0
0.042484, 0.614458, 0.325490, 0
0.252976, 0.583333, 0.376471, 0
0.263889, 0.533333, 0.352941, 0
0.277778, 0.548077, 0.407843, 0
0.266667, 0.489130, 0.360784, 0
0.265027, 0.570093, 0.419608, 0
0.297980, 0.600000, 0.431373, 1
0.611111, 0.085714, 0.137255, 1
0.973810, 0.707071, 0.388235, 1
0.225610, 0.788462, 0.407843, 0
0.608974, 0.393939, 0.258824, 1
0.263889, 0.521739, 0.360784, 0
0.439394, 0.268293, 0.160784, 1
0.388889, 0.346154, 0.203922, 1
0.204301, 0.476923, 0.254902, 0
0.280702, 0.548077, 0.407843, 0
0.247312, 0.626263, 0.388235, 0
0.238095, 0.525000, 0.313725, 1
0.318627, 0.395349, 0.337255, 1
0.177083, 0.067511, 0.929412, 1
0.287037, 0.360000, 0.196078, 1
0.052083, 0.631579, 0.298039, 0
0.927536, 0.092000, 0.980392, 1
0.265027, 0.564815, 0.423529, 0
0.033333, 0.121951, 0.160784, 1
0.187500, 0.177778, 0.176471, 1
0.481481, 0.230769, 0.152941, 1
0.197917, 0.640000, 0.392157, 1
0.025424, 0.766234, 0.301961, 1
0.407407, 0.204545, 0.172549, 1
0.271318, 0.477778, 0.352941, 0
0.242424, 0.471429, 0.274510, 0
0.259563, 0.559633, 0.427451, 0
0.277778, 0.515152, 0.388235, 0
0.266667, 0.580357, 0.439216, 0
0.179739, 0.593023, 0.337255, 1
0.266667, 0.550000, 0.392157, 0
0.638889, 0.171429, 0.137255, 1
0.273333, 0.510204, 0.384314, 0
0.269841, 0.562500, 0.439216, 0
0.270833, 0.543689, 0.403922, 0
0.286585, 0.796117, 0.403922, 1
0.647059, 0.361702, 0.184314, 1
0.439394, 0.255814, 0.168627, 1
0.562500, 0.200000, 0.156863, 1
0.500000, 0.166667, 0.141176, 1
0.303922, 0.326923, 0.203922, 1
0.263158, 0.542857, 0.411765, 0
0.270833, 0.543689, 0.403922, 0
0.088889, 0.300000, 0.196078, 1
0.184685, 0.528571, 0.274510, 0
0.444444, 0.250000, 0.141176, 1
0.012821, 0.611765, 0.333333, 0
0.266667, 0.555556, 0.388235, 0
0.021277, 0.594937, 0.309804, 0
0.738095, 0.200000, 0.137255, 1
0.388889, 0.162162, 0.145098, 1
0.260000, 0.390625, 0.250980, 1
0.274011, 0.541284, 0.427451, 0
0.262821, 0.541667, 0.376471, 0
0.700000, 0.138889, 0.141176, 1
0.562500, 0.222222, 0.141176, 1
0.263889, 0.521739, 0.360784, 0
0.274691, 0.529412, 0.400000, 0
0.261905, 0.526882, 0.364706, 0
0.269841, 0.567568, 0.435294, 0
